"city_vil_1" "city_vil_3"
"Zhongzheng" "Taipei"
"Datong" "Taipei"
"Zhongshan" "Taipei"
"Songshan" "Taipei"
"Da’an" "Taipei"
"Wanhua" "Taipei"
"Xinyi" "Taipei"
"Shilin" "Taipei"
"Beitou" "Taipei"
"Neihu" "Taipei"
"Nangang" "Taipei"
"Wenshan" "Taipei"
"Ren’ai" "Keelung"
"Xinyi" "Keelung"
"Zhongzheng" "Keelung"
"Zhongshan" "Keelung"
"Anle" "Keelung"
"Nuannuan" "Keelung"
"Qidu" "Keelung"
"Wanli" "New"
"Jinshan" "New"
"Nangan" "Lienchiang"
"Beigan" "Lienchiang"
"Juguang" "Lienchiang"
"Dongyin" "Lienchiang"
"Banqiao" "New"
"Xizhi" "New"
"Shenkeng" "New"
"Shiding" "New"
"Ruifang" "New"
"Pingxi" "New"
"Shuangxi" "New"
"Gongliao" "New"
"Xindian" "New"
"Pinglin" "New"
"Wulai" "New"
"Yonghe" "New"
"Zhonghe" "New"
"Tucheng" "New"
"Sanxia" "New"
"Shulin" "New"
"Yingge" "New"
"Sanchong" "New"
"Xinzhuang" "New"
"Taishan" "New"
"Linkou" "New"
"Luzhou" "New"
"Wugu" "New"
"Bali" "New"
"Tamsui" "New"
"Sanzhi" "New"
"Shimen" "New"
"Yilan" "Yilan"
"Toucheng" "Yilan"
"Jiaoxi" "Yilan"
"Zhuangwei" "Yilan"
"Yuanshan" "Yilan"
"Luodong" "Yilan"
"Sanxing" "Yilan"
"Datong" "Yilan"
"Wujie" "Yilan"
"Dongshan" "Yilan"
"Su’ao" "Yilan"
"Nan’ao" "Yilan"
"Diaoyutai" NA
"East" "Hsinchu"
"North" "Hsinchu"
"Xiangshan" "Hsinchu"
"Zhubei" "Hsinchu"
"Hukou" "Hsinchu"
"Xinfeng" "Hsinchu"
"Xinpu" "Hsinchu"
"Guanxi" "Hsinchu"
"Qionglin" "Hsinchu"
"Baoshan" "Hsinchu"
"Zhudong" "Hsinchu"
"Wufeng" "Hsinchu"
"Hengshan" "Hsinchu"
"Jianshi" "Hsinchu"
"Beipu" "Hsinchu"
"Emei" "Hsinchu"
"Zhongli" "Taoyuan"
"Pingzhen" "Taoyuan"
"Longtan" "Taoyuan"
"Yangmei" "Taoyuan"
"Xinwu" "Taoyuan"
"Guanyin" "Taoyuan"
"Taoyuan" "Taoyuan"
"Guishan" "Taoyuan"
"Bade" "Taoyuan"
"Daxi" "Taoyuan"
"Fuxing" "Taoyuan"
"Dayuan" "Taoyuan"
"Luzhu" "Taoyuan"
"Zhunan" "Miaoli"
"Toufen" "Miaoli"
"Sanwan" "Miaoli"
"Nanzhuang" "Miaoli"
"Shitan" "Miaoli"
"Houlong" "Miaoli"
"Tongxiao" "Miaoli"
"Yuanli" "Miaoli"
"Miaoli" "Miaoli"
"Zaoqiao" "Miaoli"
"Touwu" "Miaoli"
"Gongguan" "Miaoli"
"Dahu" "Miaoli"
"Tai’an" "Miaoli"
"Tongluo" "Miaoli"
"Sanyi" "Miaoli"
"Xihu" "Miaoli"
"Zhuolan" "Miaoli"
"Central" "Taichung"
"East" "Taichung"
"South" "Taichung"
"West" "Taichung"
"North" "Taichung"
"Beitun" "Taichung"
"Xitun" "Taichung"
"Nantun" "Taichung"
"Taiping" "Taichung"
"Dali" "Taichung"
"Wufeng" "Taichung"
"Wuri" "Taichung"
"Fengyuan" "Taichung"
"Houli" "Taichung"
"Shigang" "Taichung"
"Dongshi" "Taichung"
"Heping" "Taichung"
"Xinshe" "Taichung"
"Tanzi" "Taichung"
"Daya" "Taichung"
"Shengang" "Taichung"
"Dadu" "Taichung"
"Shalu" "Taichung"
"Longjing" "Taichung"
"Wuqi" "Taichung"
"Qingshui" "Taichung"
"Dajia" "Taichung"
"Waipu" "Taichung"
"Da’an" "Taichung"
"Changhua" "Changhua"
"Fenyuan" "Changhua"
"Huatan" "Changhua"
"Xiushui" "Changhua"
"Lukang" "Changhua"
"Fuxing" "Changhua"
"Xianxi" "Changhua"
"Hemei" "Changhua"
"Shengang" "Changhua"
"Yuanlin" "Changhua"
"Shetou" "Changhua"
"Yongjing" "Changhua"
"Puxin" "Changhua"
"Xihu" "Changhua"
"Dacun" "Changhua"
"Puyan" "Changhua"
"Tianzhong" "Changhua"
"Beidou" "Changhua"
"Tianwei" "Changhua"
"Pitou" "Changhua"
"Xizhou" "Changhua"
"Zhutang" "Changhua"
"Erlin" "Changhua"
"Dacheng" "Changhua"
"Fangyuan" "Changhua"
"Ershui" "Changhua"
"Nantou" "Nantou"
"Zhongliao" "Nantou"
"Caotun" "Nantou"
"Guoxing" "Nantou"
"Puli" "Nantou"
"Ren’ai" "Nantou"
"Mingjian" "Nantou"
"Jiji" "Nantou"
"Shuili" "Nantou"
"Yuchi" "Nantou"
"Xinyi" "Nantou"
"Zhushan" "Nantou"
"Lugu" "Nantou"
"East" "Chiayi"
"West" "Chiayi"
"Fanlu" "Chiayi"
"Meishan" "Chiayi"
"Zhuqi" "Chiayi"
"Alishan" "Chiayi"
"Zhongpu" "Chiayi"
"Dapu" "Chiayi"
"Shuishang" "Chiayi"
"Lucao" "Chiayi"
"Taibao" "Chiayi"
"Puzi" "Chiayi"
"Dongshi" "Chiayi"
"Liujiao" "Chiayi"
"Xingang" "Chiayi"
"Minxiong" "Chiayi"
"Dalin" "Chiayi"
"Xikou" "Chiayi"
"Yizhu" "Chiayi"
"Budai" "Chiayi"
"Dounan" "Yunlin"
"Dapi" "Yunlin"
"Huwei" "Yunlin"
"Tuku" "Yunlin"
"Baozhong" "Yunlin"
"Dongshi" "Yunlin"
"Taixi" "Yunlin"
"Lunbei" "Yunlin"
"Mailiao" "Yunlin"
"Douliu" "Yunlin"
"Linnei" "Yunlin"
"Gukeng" "Yunlin"
"Citong" "Yunlin"
