"","x"
"1","豬肉河粉"
"2","牛肉河粉"
"3","魚片河粉"
"4","什錦豬肉河粉"
"5","什錦牛肉河粉"
"6","什錦海鮮河粉"
"7","清湯河粉"
"8","雞肉米線"
"9","豬肉米線"
"10","牛肉米線"
"11","魚片米線"
"12","什錦豬肉米線"
"13","什錦牛肉米線"
"14","什錦海鮮米線"
"15","清湯米線"
"16","雞肉冬粉"
"17","豬肉冬粉"
"18","牛肉冬粉"
"19","魚片冬粉"
"20","什錦豬肉冬粉"
"21","什錦牛肉冬粉"
"22","什錦海鮮冬粉"
"23","清湯冬粉"
"24","雞肉泡麵"
"25","豬肉泡麵"
"26","牛肉泡麵"
"27","魚片泡麵"
"28","什錦豬肉泡麵"
"29","什錦牛肉泡麵"
"30","什錦海鮮泡麵"
"31","清湯泡麵"
"32","雞肉泡飯"
"33","豬肉泡飯"
"34","牛肉泡飯"
"35","魚片泡飯"
"36","什錦豬肉泡飯"
"37","什錦牛肉泡飯"
"38","什錦海鮮泡飯"
"39","清湯泡飯"
"40","雞肉烏龍麵"
"41","豬肉烏龍麵"
"42","牛肉烏龍麵"
"43","魚片烏龍麵"
"44","什錦豬肉烏龍麵"
"45","什錦牛肉烏龍麵"
"46","什錦海鮮烏龍麵"
"47","清湯烏龍麵"
"48","蔬菜涼拌米線"
"49","雞絲涼拌米線"
"50","豬肉涼拌米線"
"51","雞絲粥"
"52","豬肉粥"
"53","魚片粥"
"54","海鮮粥"
"55","豬肉湯"
"56","牛肉湯"
"57","魚片湯"
"58","海鮮湯"
"59","豬油蔥飯"
"60","生菜春捲"
"61","蔬菜涼拌"
"62","雞絲涼拌"
"63","酥炸春捲"
"64","茉香綠茶"
"65","大正紅茶"
"66","英倫伯爵紅茶"
"67","初鹿青茶"
"68","高峰烏龍綠"
"69","決明大麥"
"70","青採翠玉"
"71","鹿谷黃金烏龍"
"72","小山迎露"
"73","伯爵紅茶拿鐵綠"
"74","珍珠紅茶拿鐵"
"75","布丁紅茶拿鐵"
"76","仙草凍紅茶拿鐵"
"77","紅豆紅茶拿鐵"
"78","珍珠鮮奶"
"79","手炒黑鮮奶"
"80","大甲芋頭鮮奶"
"81","草莓牛奶"
"82","亞鮮奶"
"83","出雲抹茶鮮奶"
"84","冬瓜鮮奶"
"85","布丁鮮奶仙草凍"
"86","桂圓鮮奶"
"87","大正紅茶鮮豆奶綠"
"88","大正紅茶鮮豆奶烏"
"89","大正紅茶鮮豆奶青"
"90","大正紅茶鮮豆奶麥"
"91","大正紅茶鮮豆奶伯爵"
"92","珍珠紅茶鮮豆奶布丁"
"93","出雲抹茶鮮豆奶"
"94","冬瓜鮮豆奶"
"95","布丁鮮豆奶"
"96","原鄉冬瓜茶"
"97","冬瓜青茶"
"98","蜂農花蜜茶"
"99","洛神梅現熬"
"100","養樂多綠"
"101","甘蔗青茶"
"102","蔓莓雙果醋"
"103","香柚綠茶"
"104","青檸香茶"
"105","冬瓜檸檬"
"106","金桔檸檬"
"107","萃檸檬沙"
"108","桂圓紅棗茶"
"109","阿文脆梅綠"
"110","仙人掌茶"
"111","珍珠仙人掌"
"112","烤肉便當"
"113","鯛魚便當"
"114","招牌便當"
"115","炸豬排便當"
"116","秋刀魚便當"
"117","烤鯖魚便當"
"118","鹽燒雞腿便當"
"119","日式紅燒雞便當"
"120","燜燒肉便當"
"121","古早味便當"
"122","薑汁炒火鍋肉片"
"123","烤鮭魚便當"
"124","養生素食便當"
"125","酪梨壽司"
"126","素酪梨壽司"
"127","薑汁豬壽司"
"128","九州雞肉壽司"
"129","青蔬鮮魚壽司"
"130","燒肉壽司"
"131","炸蝦壽司"
"132","軟殼蟹壽司"
"133","花壽司"
"134","海苔壽司"
"135","稻禾壽司"
"136","玉子燒壽司"
"137","馬鈴薯沙拉"
"138","經典綜合壽司"
"139","綜合壽司"
"140","素綜合壽司"
"141","窯烤馬鈴薯"
"142","義式烤時蔬"
"143","碧砂漁港小卷"
"144","白酒五花珍豬"
"145","烤雞翅"
"146","直送客意拼盤"
"147","卡拉布里漁夫鐵鍋"
"148","烤餅"
"149","每日特選湯品"
"150","義式農家蔬菜湯"
"151","蕃茄海鮮湯"
"152","燕麥綜合沙拉"
"153","凱薩沙拉"
"154","芝麻葉沙拉"
