店名,地址
東佳便當,[中正區] 德惠街1號
晨甸早餐,[內湖區] 台北市內湖區五分街68號
吃吃便當,[大安區] 台北市大安區樂業街70號
杏玥冰坊,[萬華區] 台北市萬華區寶興街129號一樓
公克咖啡 gram coffee,[中正區] 台北市廣州街8巷 （cama後方）
阿讚水餃,[大同區] 台北市民樂街209號
宙斯果霸 Zeus Bar,"[士林區] 台北市士林區文林路142號, 111 Taipei City"
御串房丼飯食堂,[中山區] 台北市中山區伊通街121號
翰翰創意鍋燒,[內湖區] 台北市內湖區瑞光路311號
派克雞排-台北松山店-2派克脆皮雞排,[信義區] 台北市信義區松隆路329號
三良品茶 - 市府店,[信義區] 台北市信義區基隆路一段188-1號
小食紅豆餅,[大安區] 台北市和平東路二段359號
老木咖啡,[士林區] 台北市士林區後港街199號
嵐丼食堂,"[松山區] 台北市松山區南京東路五段250巷2弄16號之3, 105 Taipei City"
淳香烏龍麵,[北投區] 台北市北投區崇仁路一段170號
翁記純手工水煎包古亭店,[中正區] 台北市中正區羅斯福路二段51號
鴨香飽,[內湖區] 台北市內湖區內湖路一段285巷59弄3號1樓
朱鮮饌 木燒簡餐屋,[北投區] 台北市北投區崇仁路一段66號
旅沐咖啡 (台北通安店),"[大安區] 台北市大安區通安街12號, 106 Taipei City"
派克雞排(林森店),[中山區] 台北市林森北路306號
金龍鹽酥雞,[內湖區] 台北市內湖區金龍路116號
樓下那間雞蛋糕(內湖店),[內湖區] 台北市內湖路一段413號
一芳水果茶內湖江南店,[內湖區] 江南街85號
康青龍 中山晴光,[中山區] 台北市中山區雙城街17巷2之1號
華珍燒臘,[內湖區] 台北市內湖區民權東路六段56巷33號
派克脆皮雞排 南陽店,[中正區] 台北市南陽街8號
大福小吃店,[大安區] 台北市臥龍街72號
Mina創意廚房.咖啡,[北投區] 台北市北投區崇仁路一段77號1樓
吃飽 Just Eat,[松山區] 台北市松山區復興北路505號1樓
可不可熟成紅茶 - 士林店,[士林區] 台北市士林區大北路5號
嚮家涼水鋪,[內湖區] 內湖區內湖路一段323巷4弄20號
迷客夏 內湖港墘店,[內湖區] 台北市內湖區港墘路157號
詹家廚房,[文山區] 台北市文山區興隆路一樓 79號
草魚禾海苔飯捲,[中正區] 台北市中正區南昌路二段121號
百勝堂蔘茸藥行,[大同區] 台北市大同區迪化街 1段 129號
潮饌麵府,[信義區] 台北市信義區吳興街83號
欲罷不能鹹水雞麻辣雞,[北投區] 台北市北投區石牌路二段68巷口
台北煮食甜不辣,[中正區] 台北市中正區懷寧街17-1號
意魷味境,[內湖區] 台北市內湖區內湖路一段323巷13~3號
百八漁場 西湖店,[內湖區] 114台北市內湖區瑞光路583巷22號
玉清境鮮茶坊,"[北投區] 台北市北投區中央北路一段129號, 112 台北市"
麥當勞南京店,[松山區] 台北市松山區南京東路五段162號
龍哥餐飲店,[信義區] 吳興街170巷1弄3號
麥當勞南京店,[松山區] 台北市松山區南京東路五段162號
一本燒肉飯,[中山區] 台北市中山區南京東路三段223巷47號
Pizza Rock 搖滾披薩,[松山區] 八德路三段216號
川疆食府,[內湖區] 台北市內湖區麗山街393巷6號
嘿嘿羊肉爐餐坊,"[松山區] 台北市松山區民生東路三段113巷7弄17號1樓, 105 Taipei City"
Misha Caffe X Pizzeria,"[中正區] 台北市中正區濟南路二段64-2號, 100 Taipei City"
好吃咖哩飯排骨湯,"[中正區] 台北市中正區寧波西街76號之1號, 100 Taipei City"
健康水煮餐盒-Dr.salt,"[中山區] 台北市中山區新生北路二段149巷26號, 10491 Taipei City"
鴻食堂,"[信義區] 台北市信義區嘉興街260號, 110 Taipei City"
溫時景麵食,"[大安區] 台北市大安區四維路154巷7號, 106 Taipei City"
士林雞腿,"[士林區] 台北市士林區德行東路20號, 111 Taipei City"
沙拉船先生,"[信義區] 台北市信義區忠孝東路五段71巷28號, 110 Taipei City"
貝斯特複合式餐館,"[內湖區] 台北市內湖區瑞光路76巷47號, 114 Taipei City"
