,0
0,功夫叻沙麵(辣)
1,咖哩嫩雞麵(辣)
2,沙嗲羊肉麵
3,蕃茄海鮮麵
4,檳城鮮蝦麵(辣)
5,溏心蛋
6,檸醬魚膠
7,秘製黃瓜
8,功夫獨門泡菜
0,雞魯飯
1,火雞肉飯
2,爌肉飯
3,魯肉飯
4,雞魯飯便當
5,虱目魚便當
6,火雞肉飯便當
7,爌肉便當
8,魯肉飯便當
9,味噌湯
10,紫菜蛋花湯
11,貢丸湯
12,下水湯
13,粉腸湯
14,肝連湯
15,魚香苦瓜湯
16,骨仔肉湯
17,燙青菜
18,白菜滷
19,滷筍絲
20,皮蛋豆腐
21,和風時蔬
22,豬頭皮耳朵
23,虱目魚肚
24,魷魚花
25,豬心切盤
26,肝連切盤
27,火雞肉切盤
28,火雞尾椎(每兩)
0,乳霜芒果綠
1,乳霜奶茶
2,乳霜綠茶
3,乳霜烏龍
4,乳霜梅妹
5,乳霜檸檬
6,手工奶茶
7,炭培烏龍奶茶
8,茉香奶茶
9,珍珠奶茶
10,珍珠奶綠
11,珍珠奶烏
12,焦糖奶茶
13,炒芝麻奶茶
14,紫芋香奶茶
15,甜蜜可可亞
16,茶凍烏龍奶
17,玫瑰奶茶
18,忍耐玄米奶茶
19,鮮榨檸檬紅茶
20,鮮榨檸檬綠茶
21,鮮榨檸檬烏龍茶
22,鮮榨桔子綠茶
23,百香綠茶
24,檸檬汁
25,金桔檸檬汁
26,梅子檸檬綠茶
27,梅心肝烏龍
28,梅心肝綠茶
29,酸梅子冰茶
30,想太多綠茶
31,鮮榨檸檬青茶
32,鮮榨葡萄柚綠茶
33,鮮榨葡萄柚烏龍茶
34,百香QQ蛋
35,冰鎮桂棗茶
36,酸梅子Q蛋
37,香橙綠茶
38,玫瑰青茶
39,綠茶白薄荷
40,檸檬香柚茶
41,檸檬想太多
42,蜂蜜綠茶
43,蜂蜜奶茶
44,蜂蜜檸檬汁
45,HOKI紅茶牛奶(每日限量)
46,厚道鮮奶茶
47,日式抹茶牛奶
48,越軌
49,醉不上道
50,梅涼心
51,雙青啤酒茶
52,老紅茶
53,炭培烏龍茶
54,茉莉花綠茶
55,十八歲青茶
56,HOKI紅茶(使用蔗糖標準甜度 無法調整)
57,烘烤松子奶茶
58,日曬芝麻奶茶
59,老薑茶(古法自熬)
60,燒ㄟ柚子茶
61,桂棗奶茶
62,老薑奶茶
63,玄米熱奶茶
0,刈包-全肥
1,刈包-全瘦
2,刈包-招牌
3,刈包-黃金排骨
4,刈包-肉鬆滷蛋
5,刈包-素肉鬆滷蛋
6,刈包套餐-綠豆湯
7,刈包套餐-冬瓜/酸梅/奶茶
8,刈包套餐-洛神/仙草/青草
9,刈包套餐-四神湯/丸子豆腐湯
10,肉粽套餐-綠豆湯
11,肉粽套餐-冬瓜/酸梅/奶茶
12,肉粽套餐-洛神/仙草/青草
13,肉粽套餐-四神湯/丸子豆腐湯
14,肉粽
15,四神湯
16,丸子豆腐湯
0,日式咖哩雞飯
1,日式咖哩雞烏龍麵
2,素食日式咖哩飯
3,素食日式咖哩烏龍麵
4,奶油白醬雞飯
5,奶油白醬雞烏龍麵
6,泡菜咖哩豬飯
7,泡菜咖哩豬烏龍麵
8,素食泡菜咖哩飯
9,素食泡菜咖哩烏龍麵
10,辣炒年糕
11,日式咖哩雞飯+香濃起司片
12,日式咖哩雞烏龍麵+香濃起司片
13,素食日式咖哩飯+香濃起司片
14,素食日式咖哩烏龍麵+香濃起司片
15,奶油白醬雞飯+香濃起司片
16,奶油白醬雞烏龍麵+香濃起司片
17,泡菜咖哩豬飯+香濃起司片
18,泡菜咖哩豬烏龍麵+香濃起司片
19,素食泡菜咖哩飯+香濃起司片
20,素食泡菜咖哩烏龍麵+香濃起司片
21,辣炒年糕+香濃起司片
22,味增湯
23,花椰菜
24,秋葵
25,韓式泡菜
26,辣炒年糕
27,味增湯
28,花椰菜
29,秋葵
30,韓式泡菜
31,招牌辣菜脯
0,雞排(原味)
1,雞排(大辣)
2,雞排(小辣)
0,小籠包(8 or 10顆)
1,魯肉飯包
2,魯肉飯
3,滷蛋
4,荷包蛋
5,筍絲
6,油豆腐
7,韓式泡菜
8,綜合湯
9,蘿蔔湯
10,貢丸湯
11,魚丸湯
12,蘿蔔貢丸湯
13,蘿蔔魚丸湯
14,蘿蔔排骨湯
15,鴛鴦丸
16,紅茶
17,豆漿
18,鮮乳茶
19,鮮豆乳茶
20,豆香紅茶
0,佳濱旗魚鬆300g
1,佳濱旗魚脯300g
2,鮪魚XO醬
3,佳濱海鮮蒟蒻
4,佳濱鮪魚鬆300g
5,魚鬆實品
0,魯肉飯
1,陽春麵(意麵)
2,陽春麵(細麵)
3,榨菜肉絲麵(意麵)
4,榨菜肉絲麵(細麵)
5,餛飩麵(意麵)
6,餛飩麵(細麵)
7,肉片麵(意麵)
8,肉片麵(細麵)
9,乾拌麵(意麵)
10,乾拌麵(細麵)
11,麻醬麵(意麵)
12,麻醬麵(細麵)
13,辣拌麵(意麵)
14,辣拌麵(細麵)
15,雙醬麵(意麵)
16,雙醬麵(細麵)
17,炒手麵(意麵)
18,炒手麵(細麵)
19,青菜湯
20,蛋包湯
21,餛飩湯
22,肉片湯
23,泡菜
24,虎皮
25,泰式大頭菜
26,茄子
27,小魚乾
28,豬頭皮
29,魯蛋
30,燙青菜
31,紅油炒手
0,蚵仔煎
1,蝦仁煎
2,綜合煎
3,蛋煎
4,赤肉焿米粉 (小)
5,赤肉焿米粉 (大)
6,赤肉焿麵 (小)
7,赤肉焿麵 (大)
8,赤肉焿飯 (小)
9,赤肉焿飯 (大)
10,炒米粉 (小)
11,炒米粉 (大)
