,0
0,原味（湯底附基本蔬菜）
1,藥膳（湯底附基本蔬菜）
2,羊肉片
3,羊皮（帶肉）
4,羊雜（五臟俱全）
5,羊骨（排骨、龍骨）
6,羊蹄
7,羊尾巴
8,時蔬
9,虱目魚丸
10,高麗菜
11,玉米筍
12,凍豆腐
13,豆皮
14,沙茶羊肉
15,沙茶羊皮
16,沙茶羊雜
17,蔥爆羊肉
18,蔥爆羊皮
19,蔥爆羊雜
20,麻油羊肉
21,麻油羊皮
22,麻油羊雜
23,蔥爆炒羊肚
24,酸菜炒羊肚
25,炒青菜（以當天有的菜為主）
26,炒羊心
27,炒羊肝
28,炒脆肚
29,炒腰子
30,青椒羊肉炒飯
31,羊肉炒麵
32,羊肉湯麵
33,羊肉蓋飯（或麵）
34,羊肉燴飯
35,羊肉湯（原味、藥膳）
36,羊皮湯（原味、藥膳）
37,羊雜湯（原味、藥膳）
38,排骨湯（原味、藥膳）
39,羊肝湯（原味、藥膳）
40,羊腦湯（限量）
41,蛋花湯
42,虱目魚丸湯
0,B4001藍莓綜合水果茶
1,B4005舒壓淨茶
2,C003寒天厚片五香蒟蒻乾-素食
3,C005寒天五香蒟蒻乾條-素食
4,C014寒天黑胡椒菩蒟蒻乾條-素食
5,C004寒天厚片麻辣蒟蒻乾-素食
6,C013寒天麻辣蒟蒻條-素食
7,C007寒天蒜味蒟蒻條
8,C041寒天黑胡椒牛肉蒟蒻條
9,C019厚片日式醬燒蒟蒻亁
10,D001(粗)魯肉鱈魚香絲240g
11,D002(粗)黑胡椒鱈魚香絲240g
12,D003(粗)麻辣鱈魚香絲240g
13,D004(粗)海苔鱈魚香絲240g
14,D008(粗)鮭魚鱈魚香絲240g
15,D009(粗)和風珍味香絲240g
16,D010(圈)原味板條香絲250g
17,D011(粗)蔥燒鮭魚香絲240g
18,D012(粗)沙茶芝麻香絲240g
19,D013(細)北海道鱈魚香絲300g
20,D015(粗)香蒜鱈魚香絲300g
21,D020(粗)醬燒鱈魚香絲240g
22,D021(粗)韓國烤肉鱈魚香絲
23,D022(圈)辣味板條(微辣)250g
24,E001黑白夾心絲
25,E003海苔夾心絲
26,E004鮭魚夾心絲
27,E018海苔香絲脆片-原味
28,E019海苔香絲脆片-辣味
29,E020隨身包原味香絲海苔脆片
30,E021隨身包辣味香絲海苔脆片
31,E022量販包原味香絲海苔脆片
32,E023量販包辣味香絲海苔脆片
33,E026海苔杏仁脆片(全素食
34,F001黃金辣乾條
35,F002四方型小方乾
36,F004川辣豆乾
37,F005麻辣臭豆腐豆乾
38,F012黑胡椒豆乾
39,F013玫瑰珍味豆乾
40,F1001香菇素蹄
41,F2005大豆丁豆乾
42,F1005黑胡椒素肉片
43,F1008原味起士條
44,F1009辣味起士條
45,F1013素食昆布條
46,F1014紅毛苔(天然長壽菜)
47,F1015素食牛肉乾
48,F1003素食香菇酥
49,F1004素食香菇角
50,F2001黃金蒜茸豆乾
51,F2002蒜汁魯條豆乾
52,F2004魯肉珍味豆乾
53,F2007牛肉魯條豆乾
54,F2008大沙茶豆乾
55,H001原味魷魚絲
56,H001-1小包魷魚絲
57,H002碳烤魷魚絲
58,H002-2小包碳烤魷魚絲
59,H004杏仁小魚乾
60,H008鮪魚糖
61,H010丁香魚
62,H015蜜汁魷魚片
63,H016碳烤魷魚片
64,H017辣味日式小卷燒
