,0
0,誇詹火肉飯
1,香腸飯
2,叉燒飯
3,油雞飯
4,鯖魚飯
5,老廣燒鴨飯
6,招牌三寶飯
7,各式雙拼
8,蜜汁烤雞腿飯
9,鴨腿飯
10,海南雞腿飯
0,森半抹茶拿鐵咖啡
1,原味拿鐵
2,法芙娜可可歐蕾
0,★伯爵紅茶
1,元氣紅茶
2,茉莉花綠茶
3,輕烘焙青茶
4,凍頂烏龍綠
5,黃金麥茶
6,原味冬瓜
7,觀日玄米茶
8,甘蔗青茶
9,桑椹紅茶
10,檸檬綠茶
11,柳丁綠茶 (季節限定)
12,紅蘿蔔綠茶（季節限定）
13,小番茄綠茶（季節限定）
14,冬瓜檸檬
15,金桔檸檬
16,甘蔗檸檬
17,玉潤仙草甘茶
18,話梅綠茶
19,多多綠茶
20,蘋果紅茶
21,蘋果綠茶
22,台灣龍眼蜜茶
23,蜂蜜綠茶
24,拿鐵紅茶
25,★伯爵拿鐵
26,冬瓜拿鐵
27,可可拿鐵
28,桑椹拿鐵
29,蔗香拿鐵
30,阿華田拿鐵
31,★伯爵奶茶
32,招牌奶茶
33,阿華田
34,嫩仙草奶凍
35,波霸奶紅
36,沖繩黑糖奶
37,椰果奶茶
38,布丁奶茶
39,芋頭鮮奶
40,鳳梨紅茶
41,百香綠茶
42,桑葚檸檬
0,阿里山冰茶★
1,頂級茉莉綠茶
2,錫蘭紅茶
3,凍頂烏龍茶
4,文山清茶
5,烏龍綠茶
6,伯爵紅茶★
7,濃香烏龍
8,茶花綠茶★
9,日式玄米茶
10,熊貓珍珠奶茶★
11,紅豆玄米奶茶
12,蜜香烏龍小珍奶★
13,珍珠奶茶
14,錫蘭奶茶
15,茉香奶茶
16,招牌奶茶
17,伯爵奶茶
18,沖繩黑糖奶茶
19,仙草凍奶茶
20,布丁奶茶
21,日月潭紅玉拿鐵
22,紅豆玄米拿鐵★
23,紅茶拿鐵
24,綠茶拿鐵
25,伯爵拿鐵★
26,焙茶珍珠拿鐵
27,抹茶紅豆白玉
28,抹茶拿鐵★
29,聖塔路黑可可★
30,鮮奶紅茶拿鐵
31,鮮奶綠茶拿鐵
32,鮮奶皇家伯爵拿鐵
33,沖繩黑糖珍珠掛奶★
34,紫芋拿鐵★
35,黑糖薑茶
36,桂圓紅棗茶★
37,翡翠檸檬冰鑽
38,青梅冰鑽★
39,鳳梨冰鑽★
40,可可冰鑽
41,抹茶冰鑽
42,鳳梨清茶★
43,百香鳳梨
44,鮮果雙Q紅/綠茶★
45,鮮百香紅/綠茶
46,鮮檸檬紅/綠茶
47,養樂多綠茶
48,藍莓果茶
49,夏夜晚風★
50,墾丁冰茶★
51,梅果綠茶
52,蜂蜜蘆薈
53,檸檬CC
54,鮮百香檸檬
55,鮮桔檸檬
56,蜂蜜檸檬
57,檸檬梅子
58,蘋果百香多多（冰沙）★
59,水晶冬瓜茶★
60,冬瓜拿鐵
61,冬瓜檸檬★
62,四季春★
63,蜜香紅茶
64,臺灣綠茶
65,四季烏龍
66,四季春南波萬★
67,蜜香果茶★
68,寒天四季奶青★
69,福祿FRUIT水果茶★
70,阿里山里佳甘露★
71,日月潭紅玉紅茶
72,玉露煎茶★
0,90元藝秝招牌便當
1,120元藝秝精緻便當
0,原味雞排
1,香檸雞排
2,黑胡椒雞排
3,海苔雞排
4,香蒜雞排
5,梅子雞排
6,脆皮雞翅
7,甘梅薯條
8,雞腿
9,雞塊
10,雞米花
11,魷魚頭
12,杏鮑菇
13,三角薯餅
14,百頁豆腐
15,馬鈴薯薯條
16,麥克雞塊
17,甜不辣
18,花枝丸
19,雞脖子
20,米血
21,大熱狗
22,熱狗心
23,魚板
24,三角骨
25,雞屁股
0,招牌炒飯
1,蝦仁炒飯
2,肉絲炒飯
3,黃金炒飯
4,培根炒飯
5,火腿炒飯
6,雞丁炒飯
7,虱目魚炒飯
8,吻仔魚炒飯
9,辣丁香炒飯
0,五香雞排飯
1,咖哩雞排飯
2,排骨飯
3,蝦球飯
4,雞腿飯
5,醋溜雞柳飯
6,梅干扣肉飯
7,紅燒牛肉飯
8,筍干扣肉飯
9,清蒸鱈魚飯
10,虱目魚肚飯
11,乾煎時魚飯
12,鼓汁吳郭飯
13,日式豬排飯
14,乾煎時魚飯
15,鼓汁吳郭魚飯
16,虱目魚肚飯
17,清蒸鱈魚飯
0,低溫舒薇紐澳良嫩煎雞腿漢堡-原味
1,卡拉雞可頌堡-重乳酪醬
0,美女雞排(檸檬)
1,野獸雞排(原味)
2,黃金雞腿肉
3,酥炸魷魚
4,黃金脆薯
5,麥克雞塊
6,百頁豆腐
7,黃金地瓜球
8,手工甜不辣
9,花枝丸
10,銀絲卷(2個)
11,小熱狗
12,米血
13,芋粿
14,雞柳
15,芋頭餅
16,麻糬蛋黃芋泥丸（兩顆）
17,芋粿籤（兩塊）
0,杏仁茶
0,日式丼飯
1,腦闆愛炒飯
2,南洋椰汁黃咖喱雞特餐(只有一~四有)
3,泰式打拋豬特餐
4,夾肉肉古巴堡（每日限定口味）
5,雙倍香濃花生起司古巴堡
6,古巴堡
0,鮮奶(原味)甜甜圈
1,巧克力甜甜圈
2,海苔口味甜甜圈
3,甘梅口味甜甜圈
4,起司口味甜甜圈
5,芥末口味甜甜圈
6,鮮奶包
7,芋頭包
8,紅豆包
9,酸菜包
10,筍仔包
11,花生包
12,芝麻包
13,鳳梨包
14,葡萄奶酥
15,脆皮巧克力包
16,紅茶
17,鮮奶茶
0,菜單圖
1,翡翠綠茶
2,錫蘭紅茶
3,高山金萱茶
4,四季春茶
5,文山清茶
6,烏龍綠茶
7,古早味紅茶
8,金萱雙Q
9,梅子綠茶
10,多多綠茶
11,阿華田
12,桂圓紅棗茶
13,冬瓜茶
14,梅子冰茶
15,冬瓜青
16,冬瓜檸檬
17,冰淇淋紅茶
18,錫蘭奶茶
19,鐵觀音奶茶
20,沖繩奶茶
21,波霸奶茶
22,椰果奶茶
23,咖啡凍奶茶
24,仙草凍奶茶
25,玫瑰奶茶
26,布丁奶茶
27,紅茶拿鐵
28,鐵觀音拿鐵
29,沖繩鮮奶茶
30,波霸紅茶拿鐵
31,阿華田拿鐵
32,玫瑰拿鐵
33,桂圓拿鐵
34,布丁鮮奶茶
35,香橙果粒茶
36,柳橙果粒茶
37,葡萄柚果粒茶
38,葡萄柚果粒蜜茶
39,奇異果果粒茶
40,葡萄柚果粒多多
41,百香雙Q果
42,百香綠茶
43,翡翠香橙
44,番茄梅蜜(冰沙)
45,翡翠柳橙
46,百香多多
47,冰萃檸檬
48,金桔檸檬
49,檸檬紅茶
50,檸檬綠茶
51,蜂蜜檸檬
